Generation  0
Individual id:  40  | Accuracy:  0.3333333333333333  | Hinge Loss:  20.412003513969875
Individual id:  41  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.525831010737027
Individual id:  42  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.441624835599657
Individual id:  43  | Accuracy:  0.3333333333333333  | Hinge Loss:  17.57046919740774
Individual id:  44  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.569519487356724
Individual id:  45  | Accuracy:  0.3333333333333333  | Hinge Loss:  16.281375273602062
Individual id:  46  | Accuracy:  0.0  | Hinge Loss:  15.016296096446236
Individual id:  47  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.94471662719549
Individual id:  48  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.765249323899463
Individual id:  49  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.294141101070258
Individual id:  50  | Accuracy:  0.3333333333333333  | Hinge Loss:  15.603761598729715
Individual id:  51  | Accuracy:  0.4533333333333333  | Hinge Loss:  1.4087698574400793
Individual id:  52  | Accuracy:  0.43333333333333335  | Hinge Loss:  6.27439948432014
Individual id:  53  | Accuracy:  0.3333333333333333  | Hinge Loss:  12.913853550372298
Individual id:  54  | Accuracy:  0.3333333333333333  | Hinge Loss:  12.884972851176977
Individual id:  55  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.583998378514251
Individual id:  56  | Accuracy:  0.3333333333333333  | Hinge Loss:  22.082633832707867
Individual id:  57  | Accuracy:  0.3333333333333333  | Hinge Loss:  13.601684558523333
Individual id:  58  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.11562183891817
Individual id:  59  | Accuracy:  0.18666666666666668  | Hinge Loss:  7.0781964314777435
Individual id:  60  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.995573904780505
Individual id:  61  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.688905453501935
Individual id:  62  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.561143893523313
Individual id:  63  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.753656437666667
Individual id:  64  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.72980382479864
Individual id:  65  | Accuracy:  0.3333333333333333  | Hinge Loss:  19.527154547401096
Individual id:  66  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.338081572537013
Individual id:  67  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.6281943558974117
Individual id:  68  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.5211444254743
Individual id:  69  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.963407909230654
Individual id:  70  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.102181889948078
Individual id:  71  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.659265659017128
Individual id:  72  | Accuracy:  0.3333333333333333  | Hinge Loss:  17.46658395309406
Individual id:  73  | Accuracy:  0.38  | Hinge Loss:  9.352222980394439
Individual id:  74  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.49346099371773
Individual id:  75  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.965370921576758
Individual id:  76  | Accuracy:  0.3333333333333333  | Hinge Loss:  16.124320315723253
Individual id:  77  | Accuracy:  0.5466666666666666  | Hinge Loss:  11.007547067738567
Individual id:  78  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.467678234110798
Individual id:  79  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.896814787265205
Individual id:  80  | Accuracy:  0.34  | Hinge Loss:  7.930844472619994
Individual id:  81  | Accuracy:  0.3333333333333333  | Hinge Loss:  1.6979262918858402
Individual id:  82  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.289666738099945
Individual id:  83  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.6465939688238693
Individual id:  84  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.467076739631658
Individual id:  85  | Accuracy:  0.22666666666666666  | Hinge Loss:  14.017054552023582
Individual id:  86  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.016590391104058
